A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P
19-06-2024,6,4,14,NILOUFER TEA,150,108,PALMIERS,170,122,BURGUR BUN,170,131,BRAZILIAN COFFEE PASTRY,159,20
19-06-2024,6,4,15,NILOUFER TEA,150,90,CHOCOCHIP OSMANIA,165,147,VEG ROLL,45,107,OPERA PASTRY,169.9,23
19-06-2024,6,4,16,NILOUFER TEA,150,140,PLAIN KHARI,175,123,ALOO PARATHA,280,148,ENGLISH FRUIT CUSTURD,193,24
19-06-2024,6,4,17,NILOUFER TEA,150,149,DRY FRUIT PREMIUM,725,170,PAV BAJI,69,111,PREMIUM BUTTERSCOCH,159,25
19-06-2024,6,4,18,NILOUFER TEA,150,107,CHOCO ROCKS,320,186,VEG STICKS,220,129,EGGLESS BUTTERSCOCH,360,18
19-06-2024,6,4,19,NILOUFER TEA,150,96,GHEE BUN,80,113,PANNER PIZZA,320,126,EGGLESS CHOCOCHIP CAKE,410,23
19-06-2024,6,4,20,NILOUFER TEA,150,68,DUM KA ROAT,600,136,MUSHROOM WRAP,450,140,EGGLESS CHOCO TRUFFLE CAKE,520,17
19-06-2024,6,4,21,NILOUFER TEA,150,142,ATTA BISCUIT,180,248,MASALA FRIES,250,146,EGGLESS RASMALAI CAKE,620,20
19-06-2024,6,4,22,NILOUFER TEA,150,99,GHEE ALMOND,220,291,SWEET CORN,20,140,TIRAMISU PASTRY,160.9,11
19-06-2024,6,4,23,NILOUFER TEA,150,132,OSMANIA CLASSIC,60,154,VADA PAV,180,115,SWISS ROCHER PASTRY,159,25
19-06-2024,6,4,24,NILOUFER TEA,150,101,OSMANIA PREMIUM,450,126,POPCORN,25,136,CHEESE CAKE,480,18
20-06-2024,6,5,1,NILOUFER TEA,150,101,BUTTER ALMOND,140,164,VEG PUFF,59,149,VANILLA CAKE,169,25
20-06-2024,6,5,2,NILOUFER TEA,150,97,DRY FRUIT,140,280,PANEER PUFF,69,142,BUTTERSCOCH CAKE,159,15
20-06-2024,6,5,3,NILOUFER TEA,150,85,CHOCOCHIP,100,227,EGG PUFF,70,126,DRY FRUITS CAKE,220,26
20-06-2024,6,5,4,NILOUFER TEA,150,145,DOUBLE CHOCOCHIP,120,105,ALOO SAMOSA,45,103,STRAWBERRY CAKE,250,18
20-06-2024,6,5,5,NILOUFER TEA,150,129,FRUIT BISCUIT,180,125,MASKA BUN,100,129,PINEAPPLE CAKE,111,28
20-06-2024,6,5,6,NILOUFER TEA,150,84,SALT BISCUIT,140,103,MALAI BUN,180,140,RASMALAI CAKE,250,21
20-06-2024,6,5,7,NILOUFER TEA,150,135,MELTING COOKIES,200,248,SANDWICH,120,120,CHOCLATE CAKE,320,26
20-06-2024,6,5,8,NILOUFER TEA,150,78,ALMOND STICKS,400,156,VEG HALEEM,320,118,CHOCO CHIPS CAKES,320,16
20-06-2024,6,5,9,NILOUFER TEA,150,133,MULTIGRAIN BISCUIT,210,175,ONION SAMOSA,50,133,ALMONDS CAKE,230,14
20-06-2024,6,5,10,NILOUFER TEA,150,143,OATS BISCUIT,125,121,FRENCHFRIES,250,145,BLUEBERRY CAKE,480,24
20-06-2024,6,5,11,NILOUFER TEA,150,63,RAGI BISCUIT,230,181,CLASSIC PIZZA - S,100,141,RED VELVET PASTRY,111,22
20-06-2024,6,5,12,NILOUFER TEA,150,126,COCONUT BISCUIT,150,259,BURGER,165,144,BELGIUM CHOCLATE PASTRY,159,28
20-06-2024,6,5,13,NILOUFER TEA,150,76,FRUIT PREMIUM,500,252,BUTTER CAKE,89,137,BLACK FOREST PASTRY,111,20
20-06-2024,6,5,14,NILOUFER TEA,150,93,PALMIERS,170,193,BURGUR BUN,170,136,BRAZILIAN COFFEE PASTRY,159,10
20-06-2024,6,5,15,NILOUFER TEA,150,144,CHOCOCHIP OSMANIA,165,246,VEG ROLL,45,142,OPERA PASTRY,169.9,17
20-06-2024,6,5,16,NILOUFER TEA,150,95,PLAIN KHARI,175,103,ALOO PARATHA,280,109,ENGLISH FRUIT CUSTURD,193,11
20-06-2024,6,5,17,NILOUFER TEA,150,92,DRY FRUIT PREMIUM,725,141,PAV BAJI,69,112,PREMIUM BUTTERSCOCH,159,13
20-06-2024,6,5,18,NILOUFER TEA,150,145,CHOCO ROCKS,320,235,VEG STICKS,220,114,EGGLESS BUTTERSCOCH,360,20
20-06-2024,6,5,19,NILOUFER TEA,150,126,GHEE BUN,80,278,PANNER PIZZA,320,105,EGGLESS CHOCOCHIP CAKE,410,14
20-06-2024,6,5,20,NILOUFER TEA,150,132,DUM KA ROAT,600,191,MUSHROOM WRAP,450,150,EGGLESS CHOCO TRUFFLE CAKE,520,30
20-06-2024,6,5,21,NILOUFER TEA,150,79,ATTA BISCUIT,180,216,MASALA FRIES,250,145,EGGLESS RASMALAI CAKE,620,30
20-06-2024,6,5,22,NILOUFER TEA,150,124,GHEE ALMOND,220,295,SWEET CORN,20,122,TIRAMISU PASTRY,160.9,16
20-06-2024,6,5,23,NILOUFER TEA,150,124,OSMANIA CLASSIC,60,213,VADA PAV,180,143,SWISS ROCHER PASTRY,159,19
20-06-2024,6,5,24,NILOUFER TEA,150,146,OSMANIA PREMIUM,450,181,POPCORN,25,147,CHEESE CAKE,480,15
21-06-2024,6,6,1,NILOUFER TEA,150,97,BUTTER ALMOND,140,168,VEG PUFF,59,132,VANILLA CAKE,169,28
21-06-2024,6,6,2,NILOUFER TEA,150,74,DRY FRUIT,140,232,PANEER PUFF,69,146,BUTTERSCOCH CAKE,159,28
21-06-2024,6,6,3,NILOUFER TEA,150,67,CHOCOCHIP,100,184,EGG PUFF,70,120,DRY FRUITS CAKE,220,18
21-06-2024,6,6,4,NILOUFER TEA,150,87,DOUBLE CHOCOCHIP,120,123,ALOO SAMOSA,45,112,STRAWBERRY CAKE,250,24
21-06-2024,6,6,5,NILOUFER TEA,150,101,FRUIT BISCUIT,180,250,MASKA BUN,100,125,PINEAPPLE CAKE,111,12
21-06-2024,6,6,6,NILOUFER TEA,150,113,SALT BISCUIT,140,188,MALAI BUN,180,105,RASMALAI CAKE,250,12
21-06-2024,6,6,7,NILOUFER TEA,150,117,MELTING COOKIES,200,283,SANDWICH,120,116,CHOCLATE CAKE,320,14
21-06-2024,6,6,8,NILOUFER TEA,150,92,ALMOND STICKS,400,187,VEG HALEEM,320,148,CHOCO CHIPS CAKES,320,25
21-06-2024,6,6,9,NILOUFER TEA,150,101,MULTIGRAIN BISCUIT,210,279,ONION SAMOSA,50,108,ALMONDS CAKE,230,28
21-06-2024,6,6,10,NILOUFER TEA,150,139,OATS BISCUIT,125,199,FRENCHFRIES,250,150,BLUEBERRY CAKE,480,13
21-06-2024,6,6,11,NILOUFER TEA,150,116,RAGI BISCUIT,230,174,CLASSIC PIZZA - S,100,125,RED VELVET PASTRY,111,24
21-06-2024,6,6,12,NILOUFER TEA,150,105,COCONUT BISCUIT,150,263,BURGER,165,116,BELGIUM CHOCLATE PASTRY,159,12
21-06-2024,6,6,13,NILOUFER TEA,150,131,FRUIT PREMIUM,500,154,BUTTER CAKE,89,132,BLACK FOREST PASTRY,111,28
21-06-2024,6,6,14,NILOUFER TEA,150,65,PALMIERS,170,300,BURGUR BUN,170,145,BRAZILIAN COFFEE PASTRY,159,18
21-06-2024,6,6,15,NILOUFER TEA,150,96,CHOCOCHIP OSMANIA,165,297,VEG ROLL,45,134,OPERA PASTRY,169.9,21
21-06-2024,6,6,16,NILOUFER TEA,150,130,PLAIN KHARI,175,132,ALOO PARATHA,280,103,ENGLISH FRUIT CUSTURD,193,14
21-06-2024,6,6,17,NILOUFER TEA,150,142,DRY FRUIT PREMIUM,725,204,PAV BAJI,69,147,PREMIUM BUTTERSCOCH,159,15
21-06-2024,6,6,18,NILOUFER TEA,150,115,CHOCO ROCKS,320,124,VEG STICKS,220,148,EGGLESS BUTTERSCOCH,360,30
21-06-2024,6,6,19,NILOUFER TEA,150,124,GHEE BUN,80,184,PANNER PIZZA,320,142,EGGLESS CHOCOCHIP CAKE,410,18
21-06-2024,6,6,20,NILOUFER TEA,150,109,DUM KA ROAT,600,164,MUSHROOM WRAP,450,118,EGGLESS CHOCO TRUFFLE CAKE,520,27
21-06-2024,6,6,21,NILOUFER TEA,150,91,ATTA BISCUIT,180,187,MASALA FRIES,250,119,EGGLESS RASMALAI CAKE,620,30
21-06-2024,6,6,22,NILOUFER TEA,150,85,GHEE ALMOND,220,167,SWEET CORN,20,129,TIRAMISU PASTRY,160.9,23
21-06-2024,6,6,23,NILOUFER TEA,150,74,OSMANIA CLASSIC,60,153,VADA PAV,180,150,SWISS ROCHER PASTRY,159,29
21-06-2024,6,6,24,NILOUFER TEA,150,60,OSMANIA PREMIUM,450,115,POPCORN,25,106,CHEESE CAKE,480,12
22-06-2024,6,7,1,NILOUFER TEA,150,89,BUTTER ALMOND,140,147,VEG PUFF,59,145,VANILLA CAKE,169,25
22-06-2024,6,7,2,NILOUFER TEA,150,125,DRY FRUIT,140,193,PANEER PUFF,69,112,BUTTERSCOCH CAKE,159,14
22-06-2024,6,7,3,NILOUFER TEA,150,109,CHOCOCHIP,100,217,EGG PUFF,70,106,DRY FRUITS CAKE,220,21
22-06-2024,6,7,4,NILOUFER TEA,150,134,DOUBLE CHOCOCHIP,120,211,ALOO SAMOSA,45,126,STRAWBERRY CAKE,250,24
22-06-2024,6,7,5,NILOUFER TEA,150,134,FRUIT BISCUIT,180,249,MASKA BUN,100,103,PINEAPPLE CAKE,111,11
22-06-2024,6,7,6,NILOUFER TEA,150,68,SALT BISCUIT,140,175,MALAI BUN,180,147,RASMALAI CAKE,250,22
22-06-2024,6,7,7,NILOUFER TEA,150,90,MELTING COOKIES,200,261,SANDWICH,120,114,CHOCLATE CAKE,320,10
22-06-2024,6,7,8,NILOUFER TEA,150,113,ALMOND STICKS,400,201,VEG HALEEM,320,149,CHOCO CHIPS CAKES,320,18
22-06-2024,6,7,9,NILOUFER TEA,150,79,MULTIGRAIN BISCUIT,210,294,ONION SAMOSA,50,146,ALMONDS CAKE,230,27
22-06-2024,6,7,10,NILOUFER TEA,150,118,OATS BISCUIT,125,190,FRENCHFRIES,250,143,BLUEBERRY CAKE,480,10
22-06-2024,6,7,11,NILOUFER TEA,150,76,RAGI BISCUIT,230,278,CLASSIC PIZZA - S,100,131,RED VELVET PASTRY,111,11
22-06-2024,6,7,12,NILOUFER TEA,150,120,COCONUT BISCUIT,150,188,BURGER,165,109,BELGIUM CHOCLATE PASTRY,159,12
22-06-2024,6,7,13,NILOUFER TEA,150,66,FRUIT PREMIUM,500,174,BUTTER CAKE,89,124,BLACK FOREST PASTRY,111,21
22-06-2024,6,7,14,NILOUFER TEA,150,116,PALMIERS,170,260,BURGUR BUN,170,103,BRAZILIAN COFFEE PASTRY,159,24
22-06-2024,6,7,15,NILOUFER TEA,150,106,CHOCOCHIP OSMANIA,165,279,VEG ROLL,45,100,OPERA PASTRY,169.9,16
22-06-2024,6,7,16,NILOUFER TEA,150,140,PLAIN KHARI,175,287,ALOO PARATHA,280,122,ENGLISH FRUIT CUSTURD,193,13
22-06-2024,6,7,17,NILOUFER TEA,150,132,DRY FRUIT PREMIUM,725,297,PAV BAJI,69,148,PREMIUM BUTTERSCOCH,159,11
22-06-2024,6,7,18,NILOUFER TEA,150,111,CHOCO ROCKS,320,141,VEG STICKS,220,102,EGGLESS BUTTERSCOCH,360,15
22-06-2024,6,7,19,NILOUFER TEA,150,80,GHEE BUN,80,291,PANNER PIZZA,320,138,EGGLESS CHOCOCHIP CAKE,410,21
22-06-2024,6,7,20,NILOUFER TEA,150,63,DUM KA ROAT,600,154,MUSHROOM WRAP,450,134,EGGLESS CHOCO TRUFFLE CAKE,520,10
22-06-2024,6,7,21,NILOUFER TEA,150,143,ATTA BISCUIT,180,179,MASALA FRIES,250,141,EGGLESS RASMALAI CAKE,620,14
22-06-2024,6,7,22,NILOUFER TEA,150,121,GHEE ALMOND,220,111,SWEET CORN,20,106,TIRAMISU PASTRY,160.9,13
22-06-2024,6,7,23,NILOUFER TEA,150,143,OSMANIA CLASSIC,60,225,VADA PAV,180,101,SWISS ROCHER PASTRY,159,26
22-06-2024,6,7,24,NILOUFER TEA,150,137,OSMANIA PREMIUM,450,214,POPCORN,25,113,CHEESE CAKE,480,19
23-06-2024,6,1,1,NILOUFER TEA,150,93,BUTTER ALMOND,140,214,VEG PUFF,59,121,VANILLA CAKE,169,25
23-06-2024,6,1,2,NILOUFER TEA,150,93,DRY FRUIT,140,122,PANEER PUFF,69,133,BUTTERSCOCH CAKE,159,27
23-06-2024,6,1,3,NILOUFER TEA,150,111,CHOCOCHIP,100,280,EGG PUFF,70,125,DRY FRUITS CAKE,220,23
23-06-2024,6,1,4,NILOUFER TEA,150,112,DOUBLE CHOCOCHIP,120,108,ALOO SAMOSA,45,124,STRAWBERRY CAKE,250,12
23-06-2024,6,1,5,NILOUFER TEA,150,115,FRUIT BISCUIT,180,169,MASKA BUN,100,130,PINEAPPLE CAKE,111,23
23-06-2024,6,1,6,NILOUFER TEA,150,76,SALT BISCUIT,140,255,MALAI BUN,180,148,RASMALAI CAKE,250,22
23-06-2024,6,1,7,NILOUFER TEA,150,96,MELTING COOKIES,200,262,SANDWICH,120,146,CHOCLATE CAKE,320,24
23-06-2024,6,1,8,NILOUFER TEA,150,77,ALMOND STICKS,400,199,VEG HALEEM,320,111,CHOCO CHIPS CAKES,320,20
23-06-2024,6,1,9,NILOUFER TEA,150,71,MULTIGRAIN BISCUIT,210,217,ONION SAMOSA,50,146,ALMONDS CAKE,230,16
23-06-2024,6,1,10,NILOUFER TEA,150,96,OATS BISCUIT,125,264,FRENCHFRIES,250,145,BLUEBERRY CAKE,480,13
23-06-2024,6,1,11,NILOUFER TEA,150,101,RAGI BISCUIT,230,148,CLASSIC PIZZA - S,100,140,RED VELVET PASTRY,111,25
23-06-2024,6,1,12,NILOUFER TEA,150,60,COCONUT BISCUIT,150,137,BURGER,165,125,BELGIUM CHOCLATE PASTRY,159,19
23-06-2024,6,1,13,NILOUFER TEA,150,62,FRUIT PREMIUM,500,245,BUTTER CAKE,89,119,BLACK FOREST PASTRY,111,25
23-06-2024,6,1,14,NILOUFER TEA,150,70,PALMIERS,170,237,BURGUR BUN,170,136,BRAZILIAN COFFEE PASTRY,159,22
23-06-2024,6,1,15,NILOUFER TEA,150,126,CHOCOCHIP OSMANIA,165,119,VEG ROLL,45,132,OPERA PASTRY,169.9,18
23-06-2024,6,1,16,NILOUFER TEA,150,130,PLAIN KHARI,175,156,ALOO PARATHA,280,104,ENGLISH FRUIT CUSTURD,193,28
23-06-2024,6,1,17,NILOUFER TEA,150,118,DRY FRUIT PREMIUM,725,252,PAV BAJI,69,113,PREMIUM BUTTERSCOCH,159,18
23-06-2024,6,1,18,NILOUFER TEA,150,99,CHOCO ROCKS,320,197,VEG STICKS,220,131,EGGLESS BUTTERSCOCH,360,22
23-06-2024,6,1,19,NILOUFER TEA,150,137,GHEE BUN,80,251,PANNER PIZZA,320,137,EGGLESS CHOCOCHIP CAKE,410,10
23-06-2024,6,1,20,NILOUFER TEA,150,148,DUM KA ROAT,600,243,MUSHROOM WRAP,450,134,EGGLESS CHOCO TRUFFLE CAKE,520,21
23-06-2024,6,1,21,NILOUFER TEA,150,147,ATTA BISCUIT,180,221,MASALA FRIES,250,124,EGGLESS RASMALAI CAKE,620,16
23-06-2024,6,1,22,NILOUFER TEA,150,96,GHEE ALMOND,220,211,SWEET CORN,20,131,TIRAMISU PASTRY,160.9,16
23-06-2024,6,1,23,NILOUFER TEA,150,138,OSMANIA CLASSIC,60,176,VADA PAV,180,107,SWISS ROCHER PASTRY,159,30
23-06-2024,6,1,24,NILOUFER TEA,150,120,OSMANIA PREMIUM,450,275,POPCORN,25,138,CHEESE CAKE,480,21
24-06-2024,6,2,1,NILOUFER TEA,150,82,BUTTER ALMOND,140,279,VEG PUFF,59,127,VANILLA CAKE,169,20
24-06-2024,6,2,2,NILOUFER TEA,150,113,DRY FRUIT,140,260,PANEER PUFF,69,113,BUTTERSCOCH CAKE,159,19
24-06-2024,6,2,3,NILOUFER TEA,150,110,CHOCOCHIP,100,195,EGG PUFF,70,130,DRY FRUITS CAKE,220,27
24-06-2024,6,2,4,NILOUFER TEA,150,110,DOUBLE CHOCOCHIP,120,248,ALOO SAMOSA,45,109,STRAWBERRY CAKE,250,20
24-06-2024,6,2,5,NILOUFER TEA,150,137,FRUIT BISCUIT,180,206,MASKA BUN,100,116,PINEAPPLE CAKE,111,22
24-06-2024,6,2,6,NILOUFER TEA,150,146,SALT BISCUIT,140,243,MALAI BUN,180,107,RASMALAI CAKE,250,22
24-06-2024,6,2,7,NILOUFER TEA,150,104,MELTING COOKIES,200,250,SANDWICH,120,149,CHOCLATE CAKE,320,18
24-06-2024,6,2,8,NILOUFER TEA,150,66,ALMOND STICKS,400,128,VEG HALEEM,320,104,CHOCO CHIPS CAKES,320,24
24-06-2024,6,2,9,NILOUFER TEA,150,69,MULTIGRAIN BISCUIT,210,160,ONION SAMOSA,50,113,ALMONDS CAKE,230,11
24-06-2024,6,2,10,NILOUFER TEA,150,95,OATS BISCUIT,125,200,FRENCHFRIES,250,114,BLUEBERRY CAKE,480,19
24-06-2024,6,2,11,NILOUFER TEA,150,146,RAGI BISCUIT,230,153,CLASSIC PIZZA - S,100,135,RED VELVET PASTRY,111,22
24-06-2024,6,2,12,NILOUFER TEA,150,74,COCONUT BISCUIT,150,266,BURGER,165,143,BELGIUM CHOCLATE PASTRY,159,18
24-06-2024,6,2,13,NILOUFER TEA,150,133,FRUIT PREMIUM,500,137,BUTTER CAKE,89,104,BLACK FOREST PASTRY,111,20
24-06-2024,6,2,14,NILOUFER TEA,150,127,PALMIERS,170,129,BURGUR BUN,170,116,BRAZILIAN COFFEE PASTRY,159,25
24-06-2024,6,2,15,NILOUFER TEA,150,130,CHOCOCHIP OSMANIA,165,223,VEG ROLL,45,111,OPERA PASTRY,169.9,10
24-06-2024,6,2,16,NILOUFER TEA,150,74,PLAIN KHARI,175,178,ALOO PARATHA,280,100,ENGLISH FRUIT CUSTURD,193,11
24-06-2024,6,2,17,NILOUFER TEA,150,122,DRY FRUIT PREMIUM,725,133,PAV BAJI,69,105,PREMIUM BUTTERSCOCH,159,15
24-06-2024,6,2,18,NILOUFER TEA,150,69,CHOCO ROCKS,320,204,VEG STICKS,220,120,EGGLESS BUTTERSCOCH,360,17
24-06-2024,6,2,19,NILOUFER TEA,150,62,GHEE BUN,80,242,PANNER PIZZA,320,129,EGGLESS CHOCOCHIP CAKE,410,23
24-06-2024,6,2,20,NILOUFER TEA,150,121,DUM KA ROAT,600,242,MUSHROOM WRAP,450,132,EGGLESS CHOCO TRUFFLE CAKE,520,29
24-06-2024,6,2,21,NILOUFER TEA,150,145,ATTA BISCUIT,180,226,MASALA FRIES,250,133,EGGLESS RASMALAI CAKE,620,22
24-06-2024,6,2,22,NILOUFER TEA,150,110,GHEE ALMOND,220,143,SWEET CORN,20,110,TIRAMISU PASTRY,160.9,12
24-06-2024,6,2,23,NILOUFER TEA,150,94,OSMANIA CLASSIC,60,263,VADA PAV,180,128,SWISS ROCHER PASTRY,159,30
24-06-2024,6,2,24,NILOUFER TEA,150,106,OSMANIA PREMIUM,450,244,POPCORN,25,148,CHEESE CAKE,480,18
25-06-2024,6,3,1,NILOUFER TEA,150,147,BUTTER ALMOND,140,234,VEG PUFF,59,144,VANILLA CAKE,169,15
25-06-2024,6,3,2,NILOUFER TEA,150,146,DRY FRUIT,140,298,PANEER PUFF,69,109,BUTTERSCOCH CAKE,159,29
25-06-2024,6,3,3,NILOUFER TEA,150,75,CHOCOCHIP,100,132,EGG PUFF,70,123,DRY FRUITS CAKE,220,30
25-06-2024,6,3,4,NILOUFER TEA,150,134,DOUBLE CHOCOCHIP,120,137,ALOO SAMOSA,45,115,STRAWBERRY CAKE,250,27
25-06-2024,6,3,5,NILOUFER TEA,150,72,FRUIT BISCUIT,180,115,MASKA BUN,100,113,PINEAPPLE CAKE,111,15
25-06-2024,6,3,6,NILOUFER TEA,150,144,SALT BISCUIT,140,216,MALAI BUN,180,126,RASMALAI CAKE,250,11
25-06-2024,6,3,7,NILOUFER TEA,150,60,MELTING COOKIES,200,241,SANDWICH,120,139,CHOCLATE CAKE,320,10
25-06-2024,6,3,8,NILOUFER TEA,150,102,ALMOND STICKS,400,114,VEG HALEEM,320,150,CHOCO CHIPS CAKES,320,18
25-06-2024,6,3,9,NILOUFER TEA,150,104,MULTIGRAIN BISCUIT,210,294,ONION SAMOSA,50,119,ALMONDS CAKE,230,25
25-06-2024,6,3,10,NILOUFER TEA,150,61,OATS BISCUIT,125,226,FRENCHFRIES,250,144,BLUEBERRY CAKE,480,18
25-06-2024,6,3,11,NILOUFER TEA,150,143,RAGI BISCUIT,230,150,CLASSIC PIZZA - S,100,118,RED VELVET PASTRY,111,17
25-06-2024,6,3,12,NILOUFER TEA,150,72,COCONUT BISCUIT,150,187,BURGER,165,124,BELGIUM CHOCLATE PASTRY,159,30
25-06-2024,6,3,13,NILOUFER TEA,150,150,FRUIT PREMIUM,500,201,BUTTER CAKE,89,150,BLACK FOREST PASTRY,111,23
25-06-2024,6,3,14,NILOUFER TEA,150,77,PALMIERS,170,254,BURGUR BUN,170,146,BRAZILIAN COFFEE PASTRY,159,28
25-06-2024,6,3,15,NILOUFER TEA,150,70,CHOCOCHIP OSMANIA,165,228,VEG ROLL,45,119,OPERA PASTRY,169.9,11
25-06-2024,6,3,16,NILOUFER TEA,150,62,PLAIN KHARI,175,161,ALOO PARATHA,280,138,ENGLISH FRUIT CUSTURD,193,13
25-06-2024,6,3,17,NILOUFER TEA,150,82,DRY FRUIT PREMIUM,725,209,PAV BAJI,69,130,PREMIUM BUTTERSCOCH,159,17
25-06-2024,6,3,18,NILOUFER TEA,150,133,CHOCO ROCKS,320,170,VEG STICKS,220,113,EGGLESS BUTTERSCOCH,360,26
25-06-2024,6,3,19,NILOUFER TEA,150,109,GHEE BUN,80,141,PANNER PIZZA,320,138,EGGLESS CHOCOCHIP CAKE,410,24
25-06-2024,6,3,20,NILOUFER TEA,150,94,DUM KA ROAT,600,283,MUSHROOM WRAP,450,102,EGGLESS CHOCO TRUFFLE CAKE,520,15
25-06-2024,6,3,21,NILOUFER TEA,150,94,ATTA BISCUIT,180,207,MASALA FRIES,250,121,EGGLESS RASMALAI CAKE,620,14
25-06-2024,6,3,22,NILOUFER TEA,150,141,GHEE ALMOND,220,208,SWEET CORN,20,127,TIRAMISU PASTRY,160.9,12
25-06-2024,6,3,23,NILOUFER TEA,150,111,OSMANIA CLASSIC,60,171,VADA PAV,180,108,SWISS ROCHER PASTRY,159,10
25-06-2024,6,3,24,NILOUFER TEA,150,127,OSMANIA PREMIUM,450,226,POPCORN,25,118,CHEESE CAKE,480,11
26-06-2024,6,4,1,NILOUFER TEA,150,134,BUTTER ALMOND,140,172,VEG PUFF,59,123,VANILLA CAKE,169,30
26-06-2024,6,4,2,NILOUFER TEA,150,131,DRY FRUIT,140,111,PANEER PUFF,69,112,BUTTERSCOCH CAKE,159,20
26-06-2024,6,4,3,NILOUFER TEA,150,87,CHOCOCHIP,100,249,EGG PUFF,70,130,DRY FRUITS CAKE,220,12
26-06-2024,6,4,4,NILOUFER TEA,150,128,DOUBLE CHOCOCHIP,120,215,ALOO SAMOSA,45,114,STRAWBERRY CAKE,250,28
26-06-2024,6,4,5,NILOUFER TEA,150,144,FRUIT BISCUIT,180,187,MASKA BUN,100,142,PINEAPPLE CAKE,111,26
26-06-2024,6,4,6,NILOUFER TEA,150,139,SALT BISCUIT,140,297,MALAI BUN,180,141,RASMALAI CAKE,250,29
26-06-2024,6,4,7,NILOUFER TEA,150,86,MELTING COOKIES,200,115,SANDWICH,120,127,CHOCLATE CAKE,320,25
26-06-2024,6,4,8,NILOUFER TEA,150,127,ALMOND STICKS,400,160,VEG HALEEM,320,142,CHOCO CHIPS CAKES,320,15
26-06-2024,6,4,9,NILOUFER TEA,150,95,MULTIGRAIN BISCUIT,210,277,ONION SAMOSA,50,132,ALMONDS CAKE,230,29
26-06-2024,6,4,10,NILOUFER TEA,150,102,OATS BISCUIT,125,292,FRENCHFRIES,250,105,BLUEBERRY CAKE,480,21
26-06-2024,6,4,11,NILOUFER TEA,150,112,RAGI BISCUIT,230,185,CLASSIC PIZZA - S,100,143,RED VELVET PASTRY,111,11
26-06-2024,6,4,12,NILOUFER TEA,150,108,COCONUT BISCUIT,150,141,BURGER,165,105,BELGIUM CHOCLATE PASTRY,159,11
26-06-2024,6,4,13,NILOUFER TEA,150,104,FRUIT PREMIUM,500,127,BUTTER CAKE,89,136,BLACK FOREST PASTRY,111,10
26-06-2024,6,4,14,NILOUFER TEA,150,126,PALMIERS,170,283,BURGUR BUN,170,131,BRAZILIAN COFFEE PASTRY,159,21
26-06-2024,6,4,15,NILOUFER TEA,150,85,CHOCOCHIP OSMANIA,165,185,VEG ROLL,45,114,OPERA PASTRY,169.9,24
26-06-2024,6,4,16,NILOUFER TEA,150,77,PLAIN KHARI,175,170,ALOO PARATHA,280,132,ENGLISH FRUIT CUSTURD,193,28
26-06-2024,6,4,17,NILOUFER TEA,150,113,DRY FRUIT PREMIUM,725,296,PAV BAJI,69,128,PREMIUM BUTTERSCOCH,159,11
26-06-2024,6,4,18,NILOUFER TEA,150,127,CHOCO ROCKS,320,288,VEG STICKS,220,140,EGGLESS BUTTERSCOCH,360,28
26-06-2024,6,4,19,NILOUFER TEA,150,96,GHEE BUN,80,241,PANNER PIZZA,320,106,EGGLESS CHOCOCHIP CAKE,410,27
26-06-2024,6,4,20,NILOUFER TEA,150,68,DUM KA ROAT,600,291,MUSHROOM WRAP,450,140,EGGLESS CHOCO TRUFFLE CAKE,520,22
26-06-2024,6,4,21,NILOUFER TEA,150,72,ATTA BISCUIT,180,223,MASALA FRIES,250,136,EGGLESS RASMALAI CAKE,620,10
26-06-2024,6,4,22,NILOUFER TEA,150,117,GHEE ALMOND,220,134,SWEET CORN,20,107,TIRAMISU PASTRY,160.9,16
26-06-2024,6,4,23,NILOUFER TEA,150,107,OSMANIA CLASSIC,60,190,VADA PAV,180,102,SWISS ROCHER PASTRY,159,10
26-06-2024,6,4,24,NILOUFER TEA,150,93,OSMANIA PREMIUM,450,252,POPCORN,25,127,CHEESE CAKE,480,29
27-06-2024,6,5,1,NILOUFER TEA,150,69,BUTTER ALMOND,140,120,VEG PUFF,59,126,VANILLA CAKE,169,30
27-06-2024,6,5,2,NILOUFER TEA,150,112,DRY FRUIT,140,252,PANEER PUFF,69,148,BUTTERSCOCH CAKE,159,28
27-06-2024,6,5,3,NILOUFER TEA,150,144,CHOCOCHIP,100,111,EGG PUFF,70,145,DRY FRUITS CAKE,220,12
27-06-2024,6,5,4,NILOUFER TEA,150,75,DOUBLE CHOCOCHIP,120,183,ALOO SAMOSA,45,132,STRAWBERRY CAKE,250,17
27-06-2024,6,5,5,NILOUFER TEA,150,108,FRUIT BISCUIT,180,114,MASKA BUN,100,107,PINEAPPLE CAKE,111,11
27-06-2024,6,5,6,NILOUFER TEA,150,97,SALT BISCUIT,140,241,MALAI BUN,180,114,RASMALAI CAKE,250,12
27-06-2024,6,5,7,NILOUFER TEA,150,109,MELTING COOKIES,200,165,SANDWICH,120,132,CHOCLATE CAKE,320,29
27-06-2024,6,5,8,NILOUFER TEA,150,101,ALMOND STICKS,400,183,VEG HALEEM,320,134,CHOCO CHIPS CAKES,320,29
27-06-2024,6,5,9,NILOUFER TEA,150,127,MULTIGRAIN BISCUIT,210,191,ONION SAMOSA,50,126,ALMONDS CAKE,230,13
